CINUM,CINAME,DESCRIPTION,CLASSSTRUCTUREID,CMDB,STATUS,MAINIPLB
F5VIP-10.19.5.17: 1060,F5VIP-10.19.5.17: 1060,One-Stop-Shop-VIP-1060,CMDB-IP-F5VIP,1,OPERATING,10.19.5.17
F5VIP-10.19.5.17: 10600,F5VIP-10.19.5.17: 10600,One-Stop-Shop-VIP-10600,CMDB-IP-F5VIP,1,OPERATING,10.19.5.17
F5VIP-10.19.5.17: 10700,F5VIP-10.19.5.17: 10700,One-Stop-Shop-VIP-10700,CMDB-IP-F5VIP,1,OPERATING,10.19.5.17
F5VIP-10.19.5.17: 1090,F5VIP-10.19.5.17: 1090,One-Stop-Shop-VIP-1090,CMDB-IP-F5VIP,1,OPERATING,10.19.5.17
F5VIP-10.19.5.17: 4040,F5VIP-10.19.5.17: 4040,One-Stop-Shop-VIP-4040,CMDB-IP-F5VIP,1,OPERATING,10.19.5.17
F5VIP-10.19.5.17: 443,F5VIP-10.19.5.17: 443,One-Stop-Shop-VIP-443,CMDB-IP-F5VIP,1,OPERATING,10.19.5.17
F5VIP-10.19.5.17: 6060,F5VIP-10.19.5.17: 6060,One-Stop-Shop-VIP-6060,CMDB-IP-F5VIP,1,OPERATING,10.19.5.17
F5VIP-10.19.5.17: 70,F5VIP-10.19.5.17: 70,One-Stop-Shop-VIP-70,CMDB-IP-F5VIP,1,OPERATING,10.19.5.17
F5VIP-10.19.5.17: 8443,F5VIP-10.19.5.17: 8443,One-Stop-Shop-VIP-8443,CMDB-IP-F5VIP,1,OPERATING,10.19.5.17
F5VIP-10.19.5.17: 8444,F5VIP-10.19.5.17: 8444,One-Stop-Shop-VIP-8444,CMDB-IP-F5VIP,1,OPERATING,10.19.5.17
F5VIP-10.19.5.17: 8445,F5VIP-10.19.5.17: 8445,One-Stop-Shop-VIP-8445,CMDB-IP-F5VIP,1,OPERATING,10.19.5.17
F5VIP-10.19.5.17: 90,F5VIP-10.19.5.17: 90,One-Stop-Shop-VIP-90,CMDB-IP-F5VIP,1,OPERATING,10.19.5.17
F5VIP-10.19.249.243: 443,F5VIP-10.19.249.243: 443,OTT_Integration_VIP_443,CMDB-IP-F5VIP,1,OPERATING,10.19.249.243
F5VIP-10.19.249.243: 8443,F5VIP-10.19.249.243: 8443,OTT_Integration_VIP_8443,CMDB-IP-F5VIP,1,OPERATING,10.19.249.243
F5VIP-10.19.249.243: 8787,F5VIP-10.19.249.243: 8787,OTT_Integration_VIP_8787,CMDB-IP-F5VIP,1,OPERATING,10.19.249.243
F5VIP-10.19.249.243: 9002,F5VIP-10.19.249.243: 9002,OTT_Integration_VIP_9002,CMDB-IP-F5VIP,1,OPERATING,10.19.249.243
F5VIP-10.22.75.6: 443,F5VIP-10.22.75.6: 443,PAM-Webserver_DR_VIP_443,CMDB-IP-F5VIP,1,OPERATING,10.22.75.6
F5VIP-10.19.40.166: 443,F5VIP-10.19.40.166: 443,PAM-Webserver_VIP_443,CMDB-IP-F5VIP,1,OPERATING,10.19.40.166
F5VIP-10.19.31.68: 443,F5VIP-10.19.31.68: 443,Provisioning_Portal_VIP_443,CMDB-IP-F5VIP,1,OPERATING,10.19.31.68
F5VIP-10.19.144.150: 8012,F5VIP-10.19.144.150: 8012,RA-App_Vip_8012,CMDB-IP-F5VIP,1,OPERATING,10.19.144.150
F5VIP-10.19.26.10: 443,F5VIP-10.19.26.10: 443,RCR_BSS_WEB_VIP_443,CMDB-IP-F5VIP,1,OPERATING,10.19.26.10
F5VIP-10.19.30.206: 7800,F5VIP-10.19.30.206: 7800,Remedy_middleware_VIP_7800,CMDB-IP-F5VIP,1,OPERATING,10.19.30.206
F5VIP-10.19.30.206: 7801,F5VIP-10.19.30.206: 7801,Remedy_middleware_VIP_7801,CMDB-IP-F5VIP,1,OPERATING,10.19.30.206
F5VIP-10.19.30.206: 7802,F5VIP-10.19.30.206: 7802,Remedy_middleware_VIP_7802,CMDB-IP-F5VIP,1,OPERATING,10.19.30.206
F5VIP-10.19.30.206: 7804,F5VIP-10.19.30.206: 7804,Remedy_middleware_VIP_7804,CMDB-IP-F5VIP,1,OPERATING,10.19.30.206
F5VIP-10.19.30.206: 7805,F5VIP-10.19.30.206: 7805,Remedy_middleware_VIP_7805,CMDB-IP-F5VIP,1,OPERATING,10.19.30.206
F5VIP-10.19.248.87: 443,F5VIP-10.19.248.87: 443,Rescheduling_portal_VIP_443,CMDB-IP-F5VIP,1,OPERATING,10.19.248.87
F5VIP-10.190.5.135: 10062,F5VIP-10.190.5.135: 10062,RightFax-FE_VIP_10062,CMDB-IP-F5VIP,1,OPERATING,10.190.5.135
F5VIP-10.190.5.135: 10520,F5VIP-10.190.5.135: 10520,RightFax-FE_VIP_10520,CMDB-IP-F5VIP,1,OPERATING,10.190.5.135
F5VIP-10.190.5.135: 10521,F5VIP-10.190.5.135: 10521,RightFax-FE_VIP_10521,CMDB-IP-F5VIP,1,OPERATING,10.190.5.135
F5VIP-10.190.5.135: 10522,F5VIP-10.190.5.135: 10522,RightFax-FE_VIP_10522,CMDB-IP-F5VIP,1,OPERATING,10.190.5.135
F5VIP-10.190.5.135: 34001,F5VIP-10.190.5.135: 34001,RightFax-FE_VIP_34001,CMDB-IP-F5VIP,1,OPERATING,10.190.5.135
F5VIP-10.190.5.135: 34987,F5VIP-10.190.5.135: 34987,RightFax-FE_VIP_34987,CMDB-IP-F5VIP,1,OPERATING,10.190.5.135
F5VIP-10.190.5.135: 34988,F5VIP-10.190.5.135: 34988,RightFax-FE_VIP_34988,CMDB-IP-F5VIP,1,OPERATING,10.190.5.135
F5VIP-10.190.5.135: 36363,F5VIP-10.190.5.135: 36363,RightFax-FE_VIP_36363,CMDB-IP-F5VIP,1,OPERATING,10.190.5.135
F5VIP-10.190.5.135: 443,F5VIP-10.190.5.135: 443,RightFax-FE_VIP_443,CMDB-IP-F5VIP,1,OPERATING,10.190.5.135
F5VIP-10.190.5.135: 80,F5VIP-10.190.5.135: 80,RightFax-FE_VIP_80,CMDB-IP-F5VIP,1,OPERATING,10.190.5.135
F5VIP-10.22.75.6: 5672,F5VIP-10.22.75.6: 5672,RMQ_PAM_DR_VIP_5672,CMDB-IP-F5VIP,1,OPERATING,10.22.75.6
F5VIP-10.19.40.166: 5672,F5VIP-10.19.40.166: 5672,RMQ_PAM_VIP_5672,CMDB-IP-F5VIP,1,OPERATING,10.19.40.166
F5VIP-10.19.142.139: 8003,F5VIP-10.19.142.139: 8003,ROCFM-App_Vip_8003,CMDB-IP-F5VIP,1,OPERATING,10.19.142.139
F5VIP-10.19.34.11: 443,F5VIP-10.19.34.11: 443,RPA-ProdApp_VIP_443,CMDB-IP-F5VIP,1,OPERATING,10.19.34.11
F5VIP-10.19.34.11: 6443,F5VIP-10.19.34.11: 6443,RPA-ProdApp_VIP_6443,CMDB-IP-F5VIP,1,OPERATING,10.19.34.11
F5VIP-10.19.34.11: 9345,F5VIP-10.19.34.11: 9345,RPA-ProdApp_VIP_9345,CMDB-IP-F5VIP,1,OPERATING,10.19.34.11
F5VIP-10.19.26.115: 443,F5VIP-10.19.26.115: 443,Self-Serv-Purchasing-Portal_VIP_443,CMDB-IP-F5VIP,1,OPERATING,10.19.26.115
F5VIP-10.19.31.180: 443,F5VIP-10.19.31.180: 443,SMSEngn-Prd-APP_Vip_443,CMDB-IP-F5VIP,1,OPERATING,10.19.31.180
F5VIP-10.19.31.180: 80,F5VIP-10.19.31.180: 80,SMSEngn-Prd-APP_Vip_80,CMDB-IP-F5VIP,1,OPERATING,10.19.31.180
F5VIP-10.19.31.164: 443,F5VIP-10.19.31.164: 443,SMS-Prd-API_Vip_443,CMDB-IP-F5VIP,1,OPERATING,10.19.31.164
F5VIP-10.19.31.164: 80,F5VIP-10.19.31.164: 80,SMS-Prd-API_Vip_80,CMDB-IP-F5VIP,1,OPERATING,10.19.31.164
F5VIP-10.19.31.148: 443,F5VIP-10.19.31.148: 443,SMS-Prd-FE_Vip_443,CMDB-IP-F5VIP,1,OPERATING,10.19.31.148
F5VIP-10.19.31.148: 80,F5VIP-10.19.31.148: 80,SMS-Prd-FE_Vip_80,CMDB-IP-F5VIP,1,OPERATING,10.19.31.148
F5VIP-10.19.72.7: 443,F5VIP-10.19.72.7: 443,Social_Med-BE-Prod_VIP_443,CMDB-IP-F5VIP,1,OPERATING,10.19.72.7
F5VIP-10.19.248.196: 443,F5VIP-10.19.248.196: 443,Social_Med-FE-Prod_VIP_443,CMDB-IP-F5VIP,1,OPERATING,10.19.248.196
F5VIP-10.19.248.132: 443,F5VIP-10.19.248.132: 443,SSK_VIP_443,CMDB-IP-F5VIP,1,OPERATING,10.19.248.132
F5VIP-10.19.67.135: 443,F5VIP-10.19.67.135: 443,Subscription_Engine_VIP_443,CMDB-IP-F5VIP,1,OPERATING,10.19.67.135
F5VIP-10.19.67.135: 8443,F5VIP-10.19.67.135: 8443,Subscription_Engine_VIP_8443,CMDB-IP-F5VIP,1,OPERATING,10.19.67.135
F5VIP-10.19.67.135: 8444,F5VIP-10.19.67.135: 8444,Subscription_Engine_VIP_8444,CMDB-IP-F5VIP,1,OPERATING,10.19.67.135
F5VIP-10.19.139.148: 443,F5VIP-10.19.139.148: 443,Survey-Portal-Admin-BE-VIP_443,CMDB-IP-F5VIP,1,OPERATING,10.19.139.148
F5VIP-10.19.47.116: 443,F5VIP-10.19.47.116: 443,Survey-Portal-API-VIP_443,CMDB-IP-F5VIP,1,OPERATING,10.19.47.116
F5VIP-10.19.248.212: 443,F5VIP-10.19.248.212: 443,Survey-Portal-FE-VIP_443,CMDB-IP-F5VIP,1,OPERATING,10.19.248.212
F5VIP-10.22.247.20: 443,F5VIP-10.22.247.20: 443,Te_eg_Lite-FE-VIP_443,CMDB-IP-F5VIP,1,OPERATING,10.22.247.20
F5VIP-10.19.172.36: 443,F5VIP-10.19.172.36: 443,TED_Oracle_ERP_VIP_443,CMDB-IP-F5VIP,1,OPERATING,10.19.172.36
F5VIP-10.19.20.41: 8443,F5VIP-10.19.20.41: 8443,TED-EBS-DRProdApp_VIP_8443,CMDB-IP-F5VIP,1,OPERATING,10.19.20.41
F5VIP-10.19.20.41: 443,F5VIP-10.19.20.41: 443,TED-EBS-ProdApp_Vip_443,CMDB-IP-F5VIP,1,OPERATING,10.19.20.41
F5VIP-10.19.20.13: 8443,F5VIP-10.19.20.13: 8443,TE-ERP-DRYRUN_VIP_8443,CMDB-IP-F5VIP,1,OPERATING,10.19.20.13
F5VIP-10.19.172.7: 443,F5VIP-10.19.172.7: 443,TE-ERP-PREPROD_VIP_443,CMDB-IP-F5VIP,1,OPERATING,10.19.172.7
F5VIP-10.19.20.13: 443,F5VIP-10.19.20.13: 443,TE-ERP-PROD_VIP_443,CMDB-IP-F5VIP,1,OPERATING,10.19.20.13
F5VIP-10.19.40.135: 443,F5VIP-10.19.40.135: 443,Teleopti_ProdApp_VIP_443,CMDB-IP-F5VIP,1,OPERATING,10.19.40.135
F5VIP-10.19.191.210: 4040,F5VIP-10.19.191.210: 4040,Trouble-Ticket-VIP-4040,CMDB-IP-F5VIP,1,OPERATING,10.19.191.210
F5VIP-10.19.191.210: 80,F5VIP-10.19.191.210: 80,Trouble-Ticket-VIP-http,CMDB-IP-F5VIP,1,OPERATING,10.19.191.210
F5VIP-10.19.191.210: 443,F5VIP-10.19.191.210: 443,Trouble-Ticket-VIP-https,CMDB-IP-F5VIP,1,OPERATING,10.19.191.210
F5VIP-10.19.86.244: 6000,F5VIP-10.19.86.244: 6000,TTCSA_Prod_APP_ex_users_VIP_6000,CMDB-IP-F5VIP,1,OPERATING,10.19.86.244
F5VIP-10.19.86.244: 443,F5VIP-10.19.86.244: 443,TTCSA_Prod_App_integrations_443,CMDB-IP-F5VIP,1,OPERATING,10.19.86.244
F5VIP-10.19.66.164: 443,F5VIP-10.19.66.164: 443,TTCSA_Prod_App_integrations_VIP_443,CMDB-IP-F5VIP,1,OPERATING,10.19.66.164
F5VIP-10.19.66.164: 6000,F5VIP-10.19.66.164: 6000,TTCSA_Prod_App_integrations_VIP_6000,CMDB-IP-F5VIP,1,OPERATING,10.19.66.164
F5VIP-10.19.66.148: 443,F5VIP-10.19.66.148: 443,TTCSA_Prod_APP_internal_users_VIP_443,CMDB-IP-F5VIP,1,OPERATING,10.19.66.148
F5VIP-10.19.66.148: 6000,F5VIP-10.19.66.148: 6000,TTCSA_Prod_APP_internal_users_VIP_6000,CMDB-IP-F5VIP,1,OPERATING,10.19.66.148
F5VIP-10.19.66.116: 6000,F5VIP-10.19.66.116: 6000,TTCSA_Prod_App_reporting_VIP_6000,CMDB-IP-F5VIP,1,OPERATING,10.19.66.116
F5VIP-10.19.66.100: 443,F5VIP-10.19.66.100: 443,TTCSA_Prod_We_reporting_VIP_443,CMDB-IP-F5VIP,1,OPERATING,10.19.66.100
F5VIP-10.19.246.132: 443,F5VIP-10.19.246.132: 443,TTCSA_Prod_web_ex_users_VIP_443,CMDB-IP-F5VIP,1,OPERATING,10.19.246.132
F5VIP-10.19.66.36: 443,F5VIP-10.19.66.36: 443,TTCSA_Prod_web_integration_VIP_443,CMDB-IP-F5VIP,1,OPERATING,10.19.66.36
F5VIP-10.19.66.4: 443,F5VIP-10.19.66.4: 443,TTCSA_Prod_Web_Internal_users_VIP_443,CMDB-IP-F5VIP,1,OPERATING,10.19.66.4
F5VIP-10.19.86.228: 443,F5VIP-10.19.86.228: 443,TTCSA_Test_APP_ex_users_VIP_443,CMDB-IP-F5VIP,1,OPERATING,10.19.86.228
