CINUM,SOURCECI,RELATIONNUM,TARGETCI,
WAFVIP-10.190.250.23,WAFVIP-10.190.250.23,PROTECTS,SERVER-10.190.1.100,
WAFVIP-10.190.250.29,WAFVIP-10.190.250.29,PROTECTS,SERVER-10.19.32.100,
WAFVIP-10.190.250.14,WAFVIP-10.190.250.14,PROTECTS,SERVER-10.19.66.4,
WAFVIP-10.190.250.214,WAFVIP-10.190.250.214,PROTECTS,SERVER-10.19.66.4,
WAFVIP-10.190.250.45,WAFVIP-10.190.250.45,PROTECTS,SERVER-10.19.172.7,
WAFVIP-10.190.250.39,WAFVIP-10.190.250.39,PROTECTS,SERVER-10.19.20.13,
WAFVIP-10.190.250.18,WAFVIP-10.190.250.18,PROTECTS,SERVER-10.19.186.59,
WAFVIP-10.190.250.15,WAFVIP-10.190.250.15,PROTECTS,SERVER-10.19.144.150,
WAFVIP-10.190.250.24,WAFVIP-10.190.250.24,PROTECTS,SERVER-10.19.40.66,
WAFVIP-10.190.250.20,WAFVIP-10.190.250.20,PROTECTS,SERVER-10.19.67.3,
WAFVIP-10.190.250.22,WAFVIP-10.190.250.22,PROTECTS,SERVER-10.19.44.58,
WAFVIP-10.190.250.41,WAFVIP-10.190.250.41,PROTECTS,SERVER-10.19.20.41,
WAFVIP-10.190.250.17,WAFVIP-10.190.250.17,PROTECTS,SERVER-10.19.142.139,
WAFVIP-10.190.250.34,WAFVIP-10.190.250.34,PROTECTS,SERVER-10.19.34.11,
WAFVIP-10.190.250.36,WAFVIP-10.190.250.36,PROTECTS,SERVER-10.19.33.215,
WAFVIP-10.190.250.80,WAFVIP-10.190.250.80,PROTECTS,SERVER-10.19.172.164,
WAFVIP-10.190.250.199,WAFVIP-10.190.250.199,PROTECTS,SERVER-10.19.250.14,
WAFVIP-10.190.250.54,WAFVIP-10.190.250.54,PROTECTS,SERVER-10.19.136.100,
WAFVIP-10.190.250.106,WAFVIP-10.190.250.106,PROTECTS,SERVER-10.19.135.110,
